Model,Feature_Set,Configuration,Fold,Accuracy
KNN,Demographics only,k=5,4,0.46236559139784944
KNN,Demographics only,k=5,5,0.46236559139784944
KNN,Demographics only,k=7,1,0.4574468085106383
KNN,Demographics only,k=7,2,0.46236559139784944
KNN,Demographics only,k=7,3,0.45161290322580644
KNN,Demographics only,k=7,4,0.5161290322580645
KNN,Demographics only,k=7,5,0.3333333333333333
KNN,Demographics only,k=9,1,0.4574468085106383
KNN,Demographics only,k=9,2,0.46236559139784944
KNN,Demographics only,k=9,3,0.45161290322580644
KNN,Demographics only,k=9,4,0.3548387096774194
KNN,Demographics only,k=9,5,0.3333333333333333
Voting,Demographics only,hard_voting,1,0.5212765957446809
Voting,Demographics only,hard_voting,2,0.46236559139784944
Voting,Demographics only,hard_voting,3,0.45161290322580644
Voting,Demographics only,hard_voting,4,0.46236559139784944
Voting,Demographics only,hard_voting,5,0.5376344086021505
Bagging,Demographics only,n_estimators=10,1,0.5212765957446809
Bagging,Demographics only,n_estimators=10,2,0.46236559139784944
Bagging,Demographics only,n_estimators=10,3,0.5483870967741935
Bagging,Demographics only,n_estimators=10,4,0.5161290322580645
Bagging,Demographics only,n_estimators=10,5,0.5376344086021505
Bagging,Demographics only,n_estimators=50,1,0.5212765957446809
Bagging,Demographics only,n_estimators=50,2,0.46236559139784944
Bagging,Demographics only,n_estimators=50,3,0.5483870967741935
Bagging,Demographics only,n_estimators=50,4,0.5161290322580645
Bagging,Demographics only,n_estimators=50,5,0.5376344086021505
Bagging,Demographics only,n_estimators=100,1,0.5212765957446809
Bagging,Demographics only,n_estimators=100,2,0.46236559139784944
Bagging,Demographics only,n_estimators=100,3,0.5483870967741935
Bagging,Demographics only,n_estimators=100,4,0.5161290322580645
Bagging,Demographics only,n_estimators=100,5,0.5376344086021505
Stacking,Demographics only,default,1,0.4574468085106383
Stacking,Demographics only,default,2,0.46236559139784944
Stacking,Demographics only,default,3,0.5483870967741935
Stacking,Demographics only,default,4,0.5161290322580645
Stacking,Demographics only,default,5,0.5376344086021505
DecisionTree,Q1-2 only,max_depth=None,1,0.5
DecisionTree,Q1-2 only,max_depth=None,2,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=None,3,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=None,4,0.4946236559139785
DecisionTree,Q1-2 only,max_depth=None,5,0.5053763440860215
